Code,Name,Class,id,StationName
724723,Blanding,  Class II,BDG,Blanding
724756,Bryce Cnyn Faa AP,  Class II,BCE,Bryce Cnyn Faa AP
724755,Cedar City Municipal AP,  Class I,CDC,Cedar City Municipal AP
724795,Delta,  Class II,U24,Delta
724735,Hanksville,  Class II,HVE,Hanksville
724776,Moab_Canyonlands [UO],  Class III,CNY,Moab_Canyonlands [UO]
725755,Ogden Hill AFB,  Class II,HIF,Ogden Hill AFB
725750,Ogden Hinkley Airport,  Class II,OGD,Ogden Hinkley Airport
725724,Provo Muni (AWOS),  Class II,PVU,Provo Muni (AWOS)
724754,Saint George (AWOS),  Class II,SGU,Saint George (AWOS)
725720,Salt Lake City Int'l Arpt [ISIS],  Class I,SLC,Salt Lake City Int'l Arpt [ISIS]
725705,Vernal,  Class II,VEL,Vernal
725810,Wendover Usaf Auxiliary Field,  Class II,ENV,Wendover Usaf Auxiliary Field
